source_row_id,Family,Type,Sub Type,DM Mean (% FM),VS Mean (% FM),VS/DM Mean (% FM),BMP exp Mean (Nm3 CH4/t VS),Biodegradation %,C/N,Carbon Mean (% DM),Hydrogen Mean (% DM),Nitrogen Mean (% DM),Sulfur Mean (% DM),Oxygen Mean (% DM),Cellulose Mean (g/100g DM),Hemicelluloses Mean (g/100g DM),Lignin Mean (g/100g DM),Protein Calculated (% DM),COD Calculated (g COD/g CxHyOz),source_label,BMP_VS,BMP_DM,VS_DM_from_components,BMP_DM_from_components,BMP_DM_reported_ratio_delta,VS_DM_rounding_delta,included_DM_ge_15,complete_model_inputs
1,LCM,Green waste,,80.6,36.9,0.46,63.1,7,29.2,34.5,4.5,1.2,0.3,5.3,31.9,13.8,17.9,2.0,1.3,LCM | Green waste | nan,63.1,29.026000000000003,0.45781637717121587,28.888213399503723,0.0,0.0021836228287841486,True,True
2,MAN,Mix,Manure and Spates,32.1,17.3,0.54,253.4,38,27.2,31.7,4.4,1.2,0.4,16.2,28.7,14.8,52.3,7.3,2.0,MAN | Mix | Manure and Spates,253.4,136.836,0.5389408099688473,136.5676012461059,0.0,0.0010591900311527347,True,True
3,MAN,Poultry,,57.2,35.3,0.62,216.8,49,12.0,28.7,4.0,2.4,0.4,26.2,16.6,13.6,35.4,14.9,1.4,MAN | Poultry | nan,216.8,134.416,0.6171328671328671,133.7944055944056,0.0,0.0028671328671329155,True,True
5,LCM,Bagasse,,56.7,41.2,0.73,250.6,39,297.1,42.8,5.5,0.1,0.1,24.1,32.1,15.7,22.8,0.7,1.3,LCM | Bagasse | nan,250.6,182.938,0.7266313932980599,182.09382716049382,0.0,0.003368606701940058,True,True
7,MAN,Cattle,Straw,45.6,34.2,0.75,131.9,21,51.3,43.5,5.8,0.8,0.3,24.6,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,131.9,98.92500000000001,0.75,98.92500000000001,0.0,0.0,True,True
8,MAN,Poultry,,75.9,58.0,0.76,263.8,63,15.3,34.7,4.7,2.3,0.6,34.3,16.6,13.6,35.4,14.9,1.4,MAN | Poultry | nan,263.8,200.488,0.764163372859025,201.5862977602108,0.0,-0.004163372859025016,True,True
9,MAN,Cattle,"Straw, after 1 month conservation",17.0,13.0,0.76,198.6,38,29.2,39.5,5.3,1.4,0.7,29.7,18.8,13.6,48.5,8.5,1.6,"MAN | Cattle | Straw, after 1 month conservation",198.6,150.936,0.7647058823529411,151.8705882352941,0.0,-0.004705882352941115,True,True
10,MAN,Turkey,,68.3,52.3,0.77,173.0,37,13.5,36.6,5.1,2.7,0.5,31.6,21.7,21.5,22.8,17.0,1.5,MAN | Turkey | nan,173.0,133.21,0.7657393850658858,132.47291361639824,0.0,0.004260614934114226,True,True
11,LCM,Green waste,,44.6,34.5,0.77,178.2,33,23.9,40.3,5.5,1.7,0.1,29.7,31.9,13.8,17.9,2.0,1.3,LCM | Green waste | nan,178.2,137.214,0.773542600896861,137.84529147982062,0.0,-0.0035426008968609812,True,True
12,LCM,Mix,Green waste,34.4,26.4,0.77,218.9,45,21.9,37.5,5.3,1.7,0.2,31.9,16.8,12.5,50.2,10.7,1.5,LCM | Mix | Green waste,218.9,168.553,0.7674418604651163,167.99302325581397,0.0,0.0025581395348837077,True,True
13,ENSI,Grass,,17.2,13.5,0.78,406.3,70,34.6,42.8,5.8,1.2,0.2,28.2,21.5,11.7,27.1,10.3,1.4,ENSI | Grass | nan,406.3,316.91400000000004,0.7848837209302326,318.89825581395354,0.0,-0.0048837209302325935,True,True
15,LCM,Hemp,Dust,88.1,69.0,0.78,184.4,36,48.5,39.6,5.3,0.8,0.2,32.5,19.5,8.9,28.2,5.1,1.5,LCM | Hemp | Dust,184.4,143.83200000000002,0.7832009080590239,144.42224744608401,0.0,-0.0032009080590238437,True,True
16,MAN,Cattle,Straw,43.1,34.5,0.8,191.3,39,54.2,40.6,4.8,0.7,1.4,32.7,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,191.3,153.04000000000002,0.8004640371229698,153.12877030162412,0.0,-0.0004640371229697182,True,True
17,MAN,Cattle,Straw,43.1,34.5,0.8,191.4,46,17.2,35.0,5.3,2.0,0.5,37.3,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,191.4,153.12,0.8004640371229698,153.2088167053364,0.0,-0.0004640371229697182,True,True
18,MAN,Horse,,20.2,16.4,0.81,182.6,41,27.5,39.5,4.5,1.4,0.5,35.2,25.3,14.2,48.7,10.0,1.7,MAN | Horse | nan,182.6,147.906,0.8118811881188118,148.24950495049504,0.0,-0.0018811881188117718,True,True
19,MAN,Horse,,33.2,27.0,0.81,281.2,57,79.1,39.6,5.6,0.5,0.3,35.3,25.3,14.2,48.7,10.0,1.7,MAN | Horse | nan,281.2,227.77200000000002,0.8132530120481927,228.68674698795178,0.0,-0.003253012048192616,True,True
20,MAN,Zoo,,31.3,25.5,0.81,235.3,51,30.8,38.7,5.3,1.3,0.3,35.6,21.9,15.2,38.6,7.8,1.4,MAN | Zoo | nan,235.3,190.59300000000002,0.8146964856230032,191.69808306709268,0.0,-0.004696485623003177,True,True
