comparison_method,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,1,1,1,26,0.6673950908146478,46.93129106236994,36.89093719860983,26.153291177995257,18.94429160318001,13.618707306648966,1.7682853225518422,4.699925942592931,30.95981278571429
direct_BMPDM_all_features,RF_nested_gridsearch,1,1,1,26,0.627993576598876,49.633327680980294,37.300354954547885,34.541506627948976,20.0349960876869,14.402794959208927,1.6720199315952482,10.211035622852402,33.694129485584256
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,1,1,1,26,0.40160152507795566,62.949663534136725,52.005233434881944,36.426637615913656,25.410270105885562,18.266981864703688,1.3183217906954185,1.5962852246762744,46.11982673267329
direct_BMPDM_all_features,Mean_baseline,1,1,1,26,-0.0063433909736314575,81.63403692179847,63.716137090632145,57.3118669045453,32.95240691623151,23.688887092849715,1.0165847026957113,6.481252094440202,53.255094059405934
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,1,1,1,26,0.5730185231246048,53.17441144587529,43.5754473777717,29.457663621940416,21.464390462205728,15.430360624903964,1.5606738447583615,5.769499042397036,40.29334464987102
direct_BMPDM_all_features,LinearRegression,1,1,1,26,0.5680857068075655,53.48068512740796,43.686071404889375,29.921741321478102,21.588020939910326,15.51923633085844,1.551736163369891,6.886322670911355,41.31989387160482
two_stage_BMPVS_OOF_times_measured_VS_DM,Ridge_alpha_1,1,1,1,26,0.5838469093753822,52.49582149771222,42.84354953453892,28.37932507098482,21.190470747533833,15.233444714941346,1.5808479758263017,5.438039480706289,40.74293548668216
direct_BMPDM_all_features,Ridge_alpha_1,1,1,1,26,0.5912607836259283,52.026106799231904,42.2561725412496,27.14153476392519,21.000865645758875,15.097141049488524,1.595120570413745,6.020092102720018,41.980005819985664
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_fixed_selected_params,1,1,1,26,0.6884833734915208,45.41912776327002,35.79849846153846,25.47541257366245,18.333891551502226,13.179901791093682,1.8271577910201235,4.906886153846179,30.079029999999932
direct_BMPDM_all_features,RF_fixed_selected_params,1,1,1,26,0.6084166664927593,50.92256529527795,38.61868153846154,35.20129484145945,20.555409925835626,14.776911019525885,1.6296883841728351,10.494604615384638,32.10311
two_stage_BMPVS_OOF_times_measured_VS_DM,GradientBoosting_fixed,1,1,1,26,0.7598357478730319,39.879743490295105,31.42713942314613,23.88031854342444,16.097862910614317,11.572461395464167,2.0809540355793072,6.608271582797717,28.118966644441755
direct_BMPDM_all_features,GradientBoosting_fixed,1,1,1,26,0.6654400448474616,47.069019630437374,35.60118082257381,32.79948243058134,18.999887136490408,13.658673926228676,1.7631111462608993,11.954364306135849,30.300631679222633
two_stage_BMPVS_OOF_times_measured_VS_DM,ExtraTrees_fixed,1,1,1,26,0.6698790856271609,46.75571404111033,37.51689923076923,26.888222645966536,18.87341815788869,13.567757673511235,1.7749255862295128,8.187821538461542,29.45323999999988
direct_BMPDM_all_features,ExtraTrees_fixed,1,1,1,26,0.6426132660852691,48.648268562880254,37.28538461538464,32.14040645904205,19.637366984433413,14.116946615694964,1.7058759870709745,9.138163076923128,28.898595000000057
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,2,1,2,26,0.24259947109232072,49.55852603603996,39.57991768710105,15.709541568898652,19.122451932545243,22.996568989921286,1.1718010089733863,-19.685901669863622,34.15939292783605
direct_BMPDM_all_features,RF_nested_gridsearch,2,1,2,26,0.2616610082934496,48.93093123826897,38.65492031234059,15.298613540987397,18.880290748317048,22.70534711108331,1.1868306885368793,-19.724906312071138,33.841935679487236
