scenario_id,model,feature,mean_rank,sd_rank,median_rank,top1_rate,top3_rate,mean_abs_shap
A_BMP_VS_all_features,ExtraTrees,DM,1.58,1.0515294982615968,1.0,0.66,0.96,11.348144070603745
A_BMP_VS_all_features,ExtraTrees,Lignin,2.64,1.1563489339913178,3.0,0.18,0.76,9.175083657727132
A_BMP_VS_all_features,ExtraTrees,Hydrogen,2.8,1.2453996981544784,3.0,0.12,0.74,8.949330305936702
A_BMP_VS_all_features,ExtraTrees,Oxygen,4.8,2.0603150145508513,5.0,0.04,0.28,6.531750997343008
A_BMP_VS_all_features,ExtraTrees,VS,4.86,1.245563555756418,5.0,0.0,0.14,6.21404406836702
A_BMP_VS_all_features,ExtraTrees,Carbon,6.22,1.832696240571274,6.0,0.0,0.08,5.090006343230678
A_BMP_VS_all_features,ExtraTrees,Hemicelluloses,6.32,1.7076060339981638,6.0,0.0,0.04,4.879505196963093
A_BMP_VS_all_features,ExtraTrees,Cellulose,8.16,1.2512850537404674,8.0,0.0,0.0,3.172551497372132
A_BMP_VS_all_features,ExtraTrees,Sulfur,8.32,1.3767752917893437,8.0,0.0,0.0,3.07199395057551
A_BMP_VS_all_features,ExtraTrees,C/N,9.44,1.1457107231864814,10.0,0.0,0.0,2.2884003417197505
A_BMP_VS_all_features,ExtraTrees,Nitrogen,10.86,0.3505098327538656,11.0,0.0,0.0,1.4418695597677993
A_BMP_VS_all_features,GradientBoosting,Lignin,1.46,0.7059513771774762,1.0,0.66,1.0,15.292235415021977
A_BMP_VS_all_features,GradientBoosting,DM,2.78,1.344527836097422,2.0,0.16,0.7,11.307965542379428
A_BMP_VS_all_features,GradientBoosting,VS,3.36,1.574801574802362,3.0,0.08,0.62,9.548675943555585
A_BMP_VS_all_features,GradientBoosting,Hydrogen,3.72,1.325418686256366,4.0,0.06,0.4,8.853750262005999
A_BMP_VS_all_features,GradientBoosting,Oxygen,4.78,1.8215266080058972,5.0,0.04,0.22,7.11387208034263
A_BMP_VS_all_features,GradientBoosting,Carbon,6.52,1.3588710800678987,7.0,0.0,0.02,4.80692757754219
A_BMP_VS_all_features,GradientBoosting,Hemicelluloses,6.8,1.9272482233188633,6.0,0.0,0.04,4.598295818845198
A_BMP_VS_all_features,GradientBoosting,C/N,8.1,1.5016997172591886,8.0,0.0,0.0,3.4489810573645228
A_BMP_VS_all_features,GradientBoosting,Cellulose,8.44,1.5274361605284184,8.5,0.0,0.0,3.141710863657698
A_BMP_VS_all_features,GradientBoosting,Nitrogen,9.94,0.9563962973323457,10.0,0.0,0.0,2.0858753389513796
A_BMP_VS_all_features,GradientBoosting,Sulfur,10.1,1.1293848786315643,10.0,0.0,0.0,1.8526333883450727
A_BMP_VS_all_features,RandomForest,Lignin,1.4,0.7284313590846835,1.0,0.7,0.96,11.93418438916758
A_BMP_VS_all_features,RandomForest,DM,2.82,1.2887266298678755,3.0,0.12,0.78,9.011277895152396
A_BMP_VS_all_features,RandomForest,Hydrogen,3.6,1.6288220358559113,3.5,0.1,0.5,7.532833248540141
A_BMP_VS_all_features,RandomForest,Oxygen,4.18,1.8147918304188781,4.0,0.06,0.38,6.93734026896841
A_BMP_VS_all_features,RandomForest,VS,4.28,1.2460549992775156,4.0,0.02,0.28,6.623809867073972
A_BMP_VS_all_features,RandomForest,Hemicelluloses,5.76,1.4222718245318446,6.0,0.0,0.06,4.828006874234998
A_BMP_VS_all_features,RandomForest,Carbon,6.4,1.4846149779161804,7.0,0.0,0.04,4.324151200176039
A_BMP_VS_all_features,RandomForest,C/N,8.72,1.0309496315810696,9.0,0.0,0.0,2.129025748051688
A_BMP_VS_all_features,RandomForest,Sulfur,8.86,1.4984345572793558,9.0,0.0,0.0,2.1264724491559726
A_BMP_VS_all_features,RandomForest,Cellulose,9.58,1.031938931906183,10.0,0.0,0.0,1.692454983280563
A_BMP_VS_all_features,RandomForest,Nitrogen,10.4,0.9035079029052515,11.0,0.0,0.0,1.3268141059896335
B_BMP_DM_no_DM_VS,ExtraTrees,Hydrogen,1.64,0.9424241429983223,1.0,0.62,0.94,14.013470280174786
B_BMP_DM_no_DM_VS,ExtraTrees,Lignin,2.44,0.8843307166024091,2.0,0.12,0.86,11.605149762453621
B_BMP_DM_no_DM_VS,ExtraTrees,Oxygen,2.52,1.129204162592543,3.0,0.26,0.8,11.751491612155597
B_BMP_DM_no_DM_VS,ExtraTrees,Carbon,3.54,0.9304376850247875,4.0,0.0,0.38,8.857334386427269
B_BMP_DM_no_DM_VS,ExtraTrees,Hemicelluloses,6.18,1.3505856628341129,6.0,0.0,0.0,3.966595565542109
B_BMP_DM_no_DM_VS,ExtraTrees,C/N,6.46,1.3584204512775047,6.0,0.0,0.0,3.6116430456026807
B_BMP_DM_no_DM_VS,ExtraTrees,Sulfur,6.8,1.470804305855286,7.0,0.0,0.02,3.51319885114374
B_BMP_DM_no_DM_VS,ExtraTrees,Cellulose,7.62,1.243595839589735,8.0,0.0,0.0,2.6842378686063415
B_BMP_DM_no_DM_VS,ExtraTrees,Nitrogen,7.8,1.212183053462653,8.0,0.0,0.0,2.684543570502691
B_BMP_DM_no_DM_VS,GradientBoosting,Lignin,1.34,0.5194188275056527,1.0,0.68,1.0,18.249161989408957
B_BMP_DM_no_DM_VS,GradientBoosting,Oxygen,2.36,0.9847821679779479,2.0,0.22,0.86,13.848708590419905
B_BMP_DM_no_DM_VS,GradientBoosting,Hydrogen,2.86,1.1250396818398387,3.0,0.1,0.72,11.512881974149542
B_BMP_DM_no_DM_VS,GradientBoosting,Carbon,3.8,0.8571428571428572,4.0,0.0,0.36,8.792427447987578
B_BMP_DM_no_DM_VS,GradientBoosting,C/N,5.56,1.1633870326572762,6.0,0.0,0.04,5.425476135156008
B_BMP_DM_no_DM_VS,GradientBoosting,Hemicelluloses,5.6,1.1248582677159729,5.0,0.0,0.02,5.460254963884259
B_BMP_DM_no_DM_VS,GradientBoosting,Cellulose,7.5,1.1111677990074318,7.5,0.0,0.0,2.833811893752651
B_BMP_DM_no_DM_VS,GradientBoosting,Nitrogen,7.72,0.9044109595053952,8.0,0.0,0.0,2.6151712528480853
B_BMP_DM_no_DM_VS,GradientBoosting,Sulfur,8.26,0.9648939880439018,9.0,0.0,0.0,1.9193752935150292
B_BMP_DM_no_DM_VS,RandomForest,Lignin,1.7,0.8630747123996122,1.5,0.5,0.94,13.645190393952985
B_BMP_DM_no_DM_VS,RandomForest,Hydrogen,1.94,0.912721876855045,2.0,0.4,0.96,12.700947184292808
B_BMP_DM_no_DM_VS,RandomForest,Oxygen,2.76,0.8221425468536091,3.0,0.08,0.84,10.434219685940366
B_BMP_DM_no_DM_VS,RandomForest,Carbon,3.64,0.8020382198638972,4.0,0.02,0.26,8.083148168968847
B_BMP_DM_no_DM_VS,RandomForest,Hemicelluloses,5.3,0.8144110179279559,5.0,0.0,0.0,4.982755190046937
B_BMP_DM_no_DM_VS,RandomForest,C/N,6.64,1.0253919111386491,6.5,0.0,0.0,2.643931488325908
B_BMP_DM_no_DM_VS,RandomForest,Sulfur,7.28,1.3558640591662485,7.0,0.0,0.0,2.2895506075150673
B_BMP_DM_no_DM_VS,RandomForest,Nitrogen,7.38,0.9452350965527584,7.0,0.0,0.0,2.0692597834633464
B_BMP_DM_no_DM_VS,RandomForest,Cellulose,8.36,0.8750510189207746,9.0,0.0,0.0,1.4480694158923788
C_BMP_DM_all_features,ExtraTrees,Hydrogen,2.04,1.1773370158878007,2.0,0.46,0.88,11.781114385338906
C_BMP_DM_all_features,ExtraTrees,Oxygen,2.42,1.2303973142933984,2.5,0.32,0.82,11.292232134139217
C_BMP_DM_all_features,ExtraTrees,Lignin,2.58,1.2136973364433967,2.0,0.18,0.78,10.753501853228451
C_BMP_DM_all_features,ExtraTrees,DM,3.98,1.0783585409580354,4.0,0.02,0.24,8.393236762128867
C_BMP_DM_all_features,ExtraTrees,Carbon,4.2,1.3997084244475302,4.0,0.02,0.28,7.836475016894979
C_BMP_DM_all_features,ExtraTrees,VS,6.1,0.614451804788759,6.0,0.0,0.0,5.3083267788562845
C_BMP_DM_all_features,ExtraTrees,Cellulose,8.2,1.049781318335648,8.0,0.0,0.0,2.9554913606620086
C_BMP_DM_all_features,ExtraTrees,Hemicelluloses,8.32,1.5042796092672213,8.0,0.0,0.0,2.932823282819604
C_BMP_DM_all_features,ExtraTrees,Sulfur,8.34,1.3644165980598537,9.0,0.0,0.0,2.8202497553596
C_BMP_DM_all_features,ExtraTrees,C/N,9.02,1.2695813225996506,9.0,0.0,0.0,2.1700507336458297
C_BMP_DM_all_features,ExtraTrees,Nitrogen,10.8,0.4517539514526262,11.0,0.0,0.0,1.3295246815336506
C_BMP_DM_all_features,GradientBoosting,Lignin,1.38,0.5303060340934452,1.0,0.64,1.0,16.49636583077381
C_BMP_DM_all_features,GradientBoosting,Oxygen,2.62,1.122860777893062,3.0,0.2,0.7,12.999814306230995
C_BMP_DM_all_features,GradientBoosting,DM,3.02,0.9581018649775551,3.0,0.06,0.68,11.450911768382364
C_BMP_DM_all_features,GradientBoosting,Hydrogen,3.24,1.2047524938461724,3.0,0.1,0.56,11.007092704131018
C_BMP_DM_all_features,GradientBoosting,VS,5.68,1.2525891552447412,6.0,0.0,0.04,5.892519626829155
C_BMP_DM_all_features,GradientBoosting,Carbon,5.7,0.9741558354989899,6.0,0.0,0.02,5.919882592314087
C_BMP_DM_all_features,GradientBoosting,C/N,7.72,1.340727795045722,8.0,0.0,0.0,3.3569364400492248
C_BMP_DM_all_features,GradientBoosting,Hemicelluloses,8.32,1.6835336985892841,8.0,0.0,0.0,2.9653485009456007
C_BMP_DM_all_features,GradientBoosting,Cellulose,8.68,1.4768969123794382,9.0,0.0,0.0,2.567358732253441
C_BMP_DM_all_features,GradientBoosting,Nitrogen,9.78,1.298193407181295,10.0,0.0,0.0,1.8910453536290137
C_BMP_DM_all_features,GradientBoosting,Sulfur,9.86,1.1067510827569464,10.0,0.0,0.0,1.7435975969018915
C_BMP_DM_all_features,RandomForest,Lignin,1.36,0.5627918743883489,1.0,0.68,1.0,13.737201675985816
C_BMP_DM_all_features,RandomForest,Oxygen,2.22,0.9100347604933136,2.0,0.22,0.9,11.51495695764932
C_BMP_DM_all_features,RandomForest,Hydrogen,3.02,1.0971205354872158,3.0,0.08,0.76,9.339681507284833
C_BMP_DM_all_features,RandomForest,DM,4.26,1.006306643734647,4.0,0.0,0.18,6.98696384761657
C_BMP_DM_all_features,RandomForest,Carbon,4.6,1.2289036095775179,5.0,0.02,0.16,6.504019495114505
C_BMP_DM_all_features,RandomForest,VS,6.08,0.9864386572361181,6.0,0.0,0.0,4.680142495548184
C_BMP_DM_all_features,RandomForest,Hemicelluloses,7.1,1.2163847404233148,7.0,0.0,0.0,3.5228796241599367
C_BMP_DM_all_features,RandomForest,Sulfur,8.68,1.420548902246406,9.0,0.0,0.0,2.172337848348005
C_BMP_DM_all_features,RandomForest,C/N,8.9,1.1649647450214349,9.0,0.0,0.0,1.9282811464838228
C_BMP_DM_all_features,RandomForest,Cellulose,9.4,1.3093073414159542,9.0,0.0,0.0,1.7486105858723053
C_BMP_DM_all_features,RandomForest,Nitrogen,10.38,0.7795864942652716,11.0,0.0,0.0,1.294529918100622
