scenario_id,model,basis,outer_id,repeat,fold,feature,mean_abs_shap,rank
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,Lignin,10.045317602407861,1
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,DM,8.228974790701326,2
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,Hydrogen,6.665174351788402,3
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,Oxygen,5.553639455291498,4
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,VS,4.9528064697755685,5
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,Hemicelluloses,3.750231420668482,6
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,Carbon,3.255856620953876,7
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,Nitrogen,2.0248795390268386,8
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,Cellulose,1.8452054952746502,9
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,C/N,1.6877075731609446,10
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,1,1,1,Sulfur,1.6775039139620032,11
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,Lignin,13.473645694584132,1
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,DM,12.929056143133058,2
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,VS,6.758297831359548,3
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,Hydrogen,6.282546712595861,4
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,Oxygen,5.78168577114388,5
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,Carbon,4.957869270348658,6
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,C/N,2.487932098848098,7
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,Hemicelluloses,2.4533924104112788,8
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,Nitrogen,1.9214496421048537,9
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,Cellulose,1.8995565298392079,10
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,1,1,1,Sulfur,1.346267600488583,11
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,DM,11.29439665047358,1
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,Lignin,8.41126911507457,2
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,Hydrogen,6.674947486455304,3
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,Oxygen,5.223225085988608,4
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,VS,4.778826594786216,5
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,Carbon,4.096757342935769,6
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,C/N,3.3872785169020485,7
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,Hemicelluloses,3.2589330326650314,8
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,Sulfur,2.592730200084392,9
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,Cellulose,2.478851934693859,10
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,1,1,1,Nitrogen,1.5756741306383262,11
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,Lignin,15.9111740676843,1
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,Hydrogen,9.161492442004057,2
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,DM,8.174838002484385,3
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,VS,7.906680976775818,4
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,Oxygen,7.649459144990325,5
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,Carbon,5.172502813634359,6
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,Hemicelluloses,4.930719406332873,7
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,Sulfur,2.1187464756236927,8
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,Cellulose,1.8998264903015947,9
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,Nitrogen,1.8018492288039896,10
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,2,1,2,C/N,1.5609226555573261,11
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,Lignin,20.168412782092187,1
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,Hydrogen,13.3688590322575,2
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,VS,11.326606177920782,3
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,DM,7.544740053709207,4
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,Oxygen,7.377692727214504,5
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,Hemicelluloses,6.2222150154817735,6
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,Carbon,5.8505845442407285,7
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,Cellulose,3.6014158712225015,8
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,C/N,2.362242652267678,9
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,Sulfur,1.7797004432849635,10
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,2,1,2,Nitrogen,1.5740434690188492,11
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,Lignin,13.321697523822545,1
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,Hydrogen,12.062952728614295,2
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,DM,10.857547693254533,3
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,Hemicelluloses,7.777249397026945,4
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,Carbon,6.95747127915722,5
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,Oxygen,5.997014038440749,6
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,VS,5.966668557862097,7
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,Sulfur,2.1332941004336194,8
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,Cellulose,2.0081484744640496,9
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,Nitrogen,1.2773634214929288,10
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,2,1,2,C/N,1.112430480230091,11
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,3,1,3,Lignin,10.615996831155437,1
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,3,1,3,Oxygen,9.524058492897396,2
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,3,1,3,Hemicelluloses,7.940177477409554,3
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,3,1,3,DM,7.775265364135169,4
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,3,1,3,Hydrogen,6.647770499084411,5
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,3,1,3,VS,4.1560351140189935,6
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,3,1,3,C/N,3.4835614154250654,7
