scenario_id,basis,outer_id,repeat,fold,model_1,model_2,spearman_rank_correlation,kendall_rank_correlation,top3_overlap_count,top3_overlap_features
A_BMP_VS_all_features,outer_fold_heldout,1,1,1,ExtraTrees,GradientBoosting,0.9272727272727275,0.7818181818181819,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,1,1,1,ExtraTrees,RandomForest,0.8636363636363636,0.7090909090909091,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,1,1,1,GradientBoosting,RandomForest,0.9,0.7818181818181819,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,2,1,2,ExtraTrees,GradientBoosting,0.8363636363636365,0.6727272727272727,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,2,1,2,ExtraTrees,RandomForest,0.9090909090909091,0.7818181818181819,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,2,1,2,GradientBoosting,RandomForest,0.9363636363636365,0.8181818181818182,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,3,1,3,ExtraTrees,GradientBoosting,0.7181818181818183,0.4909090909090909,1,Lignin
A_BMP_VS_all_features,outer_fold_heldout,3,1,3,ExtraTrees,RandomForest,0.7545454545454545,0.5636363636363636,1,Lignin
A_BMP_VS_all_features,outer_fold_heldout,3,1,3,GradientBoosting,RandomForest,0.7090909090909092,0.5636363636363636,2,Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,4,1,4,ExtraTrees,GradientBoosting,0.7636363636363637,0.5272727272727272,1,DM
A_BMP_VS_all_features,outer_fold_heldout,4,1,4,ExtraTrees,RandomForest,0.8909090909090911,0.7818181818181819,1,DM
A_BMP_VS_all_features,outer_fold_heldout,4,1,4,GradientBoosting,RandomForest,0.9,0.7454545454545454,3,DM; Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,5,1,5,ExtraTrees,GradientBoosting,0.9090909090909091,0.7090909090909091,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,5,1,5,ExtraTrees,RandomForest,0.8909090909090911,0.7090909090909091,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,5,1,5,GradientBoosting,RandomForest,0.9272727272727275,0.8545454545454545,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,6,2,1,ExtraTrees,GradientBoosting,0.9,0.7454545454545454,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,6,2,1,ExtraTrees,RandomForest,0.9,0.7454545454545454,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,6,2,1,GradientBoosting,RandomForest,0.8909090909090911,0.7090909090909091,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,7,2,2,ExtraTrees,GradientBoosting,0.8636363636363636,0.7090909090909091,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,7,2,2,ExtraTrees,RandomForest,0.8727272727272729,0.7454545454545454,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,7,2,2,GradientBoosting,RandomForest,0.990909090909091,0.9636363636363636,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,8,2,3,ExtraTrees,GradientBoosting,0.8909090909090911,0.7454545454545454,2,DM; Hydrogen
A_BMP_VS_all_features,outer_fold_heldout,8,2,3,ExtraTrees,RandomForest,0.9363636363636365,0.8181818181818182,3,DM; Hydrogen; VS
A_BMP_VS_all_features,outer_fold_heldout,8,2,3,GradientBoosting,RandomForest,0.8636363636363636,0.7090909090909091,2,DM; Hydrogen
A_BMP_VS_all_features,outer_fold_heldout,9,2,4,ExtraTrees,GradientBoosting,0.7636363636363637,0.6000000000000001,1,DM
A_BMP_VS_all_features,outer_fold_heldout,9,2,4,ExtraTrees,RandomForest,0.8454545454545455,0.6727272727272727,2,DM; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,9,2,4,GradientBoosting,RandomForest,0.881818181818182,0.7090909090909091,2,DM; Lignin
