scenario_id,model,basis,repeat,fold,row_index_filtered,lignin,DM,lignin_shap
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,0,17.9,80.6,3.048975578237666
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,1,52.3,32.1,-21.360336506830855
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,2,35.4,57.2,-22.324046984099805
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,3,22.8,56.7,2.3770607004044395
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,4,29.4,45.6,-31.328271248818478
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,5,35.4,75.9,-24.312254104198033
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,6,48.5,17.0,-31.824969715737367
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,7,22.8,68.3,1.7223350863262004
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,8,17.9,44.6,3.6455152512255298
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,9,50.2,34.4,-19.7295180171381
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,10,27.1,17.2,12.86094293974045
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,11,28.2,88.1,-1.8366518096422586
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,12,29.4,43.1,-22.726451942085998
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,13,29.4,43.1,-24.722453610179826
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,14,48.7,20.2,-27.870407488117916
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,15,48.7,33.2,-20.111488758119595
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,16,38.6,31.3,-26.781635190098857
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,17,35.4,71.2,-24.350551053420027
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,18,35.4,49.6,-25.077315191700063
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,19,48.7,31.5,-24.096578723436043
A_BMP_VS_all_features,RandomForest,full_data_apparent,,,20,29.4,33.7,-30.57730056698586
